assetName,lat,long,businessCategory,riskRating,riskFactors,year
Zuniga Inc,50.26729,-119.27337,Technology,0.72,"{""Flooding"": 0.16, ""Extreme heat"": 0.14, ""Extreme cold"": 0.1, ""Tornado"": 0.1, ""Volcano"": 0.13, ""Drought"": 0.0, ""Hurricane"": 0.09}",2070
Wiley Ltd,45.43341,-73.86586,Manufacturing,0.22,"{""Volcano"": 0.01, ""Earthquake"": 0.01, ""Wildfire"": 0.01, ""Sea level rise"": 0.03, ""Flooding"": 0.04, ""Drought"": 0.04, ""Extreme cold"": 0.02, ""Extreme heat"": 0.0, ""Hurricane"": 0.03, ""Tornado"": 0.03}",2050
Good-Lewis,45.44868,-73.81669,Energy,0.65,"{""Wildfire"": 0.049999999999999996, ""Volcano"": 0.06, ""Earthquake"": 0.1, ""Drought"": 0.05, ""Tornado"": 0.09, ""Flooding"": 0.09, ""Extreme cold"": 0.09, ""Hurricane"": 0.03, ""Extreme heat"": 0.09}",2030
Wiley Ltd,46.23899,-63.13414,Healthcare,0.98,"{""Hurricane"": 0.08, ""Wildfire"": 0.31, ""Flooding"": 0.15, ""Volcano"": 0.06, ""Drought"": 0.17, ""Tornado"": 0.12, ""Extreme cold"": 0.09}",2050
Sullivan-Curtis,45.43341,-73.86586,Retail,0.53,"{""Sea level rise"": 0.45, ""Tornado"": 0.08}",2030
Pittman PLC,42.8334,-80.38297,Retail,0.1,"{""Tornado"": 0.01, ""Volcano"": 0.0, ""Flooding"": 0.02, ""Drought"": 0.02, ""Hurricane"": 0.01, ""Sea level rise"": 0.02, ""Wildfire"": 0.02}",2030
Willis-Newman,53.51684,-113.3187,Energy,0.68,"{""Extreme heat"": 0.1, ""Extreme cold"": 0.05, ""Hurricane"": 0.05, ""Wildfire"": 0.05, ""Flooding"": 0.04, ""Sea level rise"": 0.19, ""Tornado"": 0.14, ""Earthquake"": 0.06}",2070
"Thompson, Davis and Brown",45.44868,-73.81669,Manufacturing,0.49,"{""Tornado"": 0.13, ""Flooding"": 0.0, ""Drought"": 0.04, ""Volcano"": 0.01, ""Sea level rise"": 0.06, ""Earthquake"": 0.18, ""Hurricane"": 0.01, ""Extreme cold"": 0.06}",2060
Sullivan-Curtis,45.40008,-73.58248,Healthcare,0.43,"{""Flooding"": 0.07, ""Extreme heat"": 0.07, ""Sea level rise"": 0.03, ""Tornado"": 0.07, ""Drought"": 0.09, ""Volcano"": 0.01, ""Hurricane"": 0.09}",2030
"Hooper, Evans and Merritt",43.86682,-79.2663,Technology,0.98,"{""Sea level rise"": 0.15, ""Flooding"": 0.26, ""Earthquake"": 0.28, ""Extreme cold"": 0.01, ""Wildfire"": 0.26, ""Volcano"": 0.02}",2030
Obrien-Oneill,50.26729,-119.27337,Manufacturing,0.21,"{""Extreme heat"": 0.21}",2040
Reid PLC,42.8334,-80.38297,Healthcare,0.66,"{""Sea level rise"": 0.04, ""Drought"": 0.04, ""Extreme heat"": 0.1, ""Hurricane"": 0.16, ""Earthquake"": 0.17, ""Tornado"": 0.03, ""Extreme cold"": 0.07, ""Wildfire"": 0.05}",2070
Willis-Newman,53.51684,-113.3187,Energy,0.69,"{""Earthquake"": 0.42, ""Wildfire"": 0.01, ""Drought"": 0.26}",2070
Campos and Sons,45.43341,-73.86586,Retail,0.87,"{""Earthquake"": 0.87}",2050
"Mcknight, Beasley and Stewart",45.44868,-73.81669,Retail,0.66,"{""Drought"": 0.24, ""Sea level rise"": 0.15, ""Tornado"": 0.07, ""Earthquake"": 0.02, ""Hurricane"": 0.01, ""Extreme cold"": 0.17}",2040
"Mejia, Roberts and Gay",45.4473,-73.75335,Technology,0.77,"{""Hurricane"": 0.05, ""Volcano"": 0.29, ""Tornado"": 0.39, ""Flooding"": 0.04}",2070
Vega-Huffman,46.23899,-63.13414,Manufacturing,0.68,"{""Sea level rise"": 0.2, ""Wildfire"": 0.21, ""Extreme heat"": 0.09, ""Earthquake"": 0.18}",2070
Vega-Huffman,45.43341,-73.86586,Manufacturing,0.6,"{""Extreme cold"": 0.13, ""Drought"": 0.01, ""Sea level rise"": 0.16, ""Earthquake"": 0.18, ""Flooding"": 0.12}",2060
"Mcpherson, Simmons and Simpson",45.40008,-73.58248,Manufacturing,0.48,"{""Sea level rise"": 0.2, ""Drought"": 0.23, ""Flooding"": 0.05}",2050
Thomas-Chavez,46.1351,-60.1831,Technology,0.19,"{""Flooding"": 0.02, ""Drought"": 0.01, ""Volcano"": 0.05, ""Wildfire"": 0.05, ""Tornado"": 0.03, ""Sea level rise"": 0.03}",2060
Martin-Jenkins,42.8334,-80.38297,Manufacturing,0.3,"{""Sea level rise"": 0.01, ""Drought"": 0.01, ""Flooding"": 0.05, ""Extreme heat"": 0.03, ""Wildfire"": 0.04, ""Hurricane"": 0.03, ""Extreme cold"": 0.02, ""Tornado"": 0.04, ""Volcano"": 0.02, ""Earthquake"": 0.05}",2030
"Clarke, Lutz and Farrell",53.51684,-113.3187,Manufacturing,0.11,"{""Extreme cold"": 0.0, ""Earthquake"": 0.01, ""Extreme heat"": 0.01, ""Hurricane"": 0.03, ""Volcano"": 0.03, ""Flooding"": 0.01, ""Sea level rise"": 0.02, ""Tornado"": 0.0}",2070
Horne and Sons,53.51684,-113.3187,Energy,0.95,"{""Tornado"": 0.13, ""Drought"": 0.15, ""Sea level rise"": 0.05, ""Extreme heat"": 0.05, ""Flooding"": 0.11, ""Wildfire"": 0.09, ""Extreme cold"": 0.08, ""Volcano"": 0.1, ""Hurricane"": 0.04, ""Earthquake"": 0.15}",2060
"Mcknight, Beasley and Stewart",53.51684,-113.3187,Finance,0.86,"{""Extreme cold"": 0.01, ""Extreme heat"": 0.03, ""Hurricane"": 0.15, ""Tornado"": 0.23, ""Earthquake"": 0.15, ""Sea level rise"": 0.05, ""Flooding"": 0.04, ""Volcano"": 0.03, ""Wildfire"": 0.11, ""Drought"": 0.06}",2040
"Mejia, Roberts and Gay",50.26729,-119.27337,Retail,0.03,"{""Wildfire"": 0.01, ""Extreme heat"": 0.01, ""Sea level rise"": 0.01}",2070
"Hall, Meadows and Anderson",53.51684,-113.3187,Retail,0.23,"{""Extreme heat"": 0.09999999999999999, ""Tornado"": 0.07, ""Sea level rise"": 0.04, ""Volcano"": 0.02}",2040
"Hall, Meadows and Anderson",50.26729,-119.27337,Energy,0.42,"{""Volcano"": 0.07, ""Extreme cold"": 0.05, ""Extreme heat"": 0.04, ""Wildfire"": 0.01, ""Flooding"": 0.02, ""Drought"": 0.05, ""Sea level rise"": 0.13, ""Tornado"": 0.05}",2050
Horne and Sons,45.43341,-73.86586,Manufacturing,0.43,"{""Sea level rise"": 0.04, ""Drought"": 0.06, ""Tornado"": 0.01, ""Volcano"": 0.06, ""Earthquake"": 0.01, ""Extreme heat"": 0.07, ""Extreme cold"": 0.09, ""Flooding"": 0.09}",2050
"Roberts, Burke and Williams",45.44868,-73.81669,Technology,0.43,"{""Sea level rise"": 0.07, ""Wildfire"": 0.1, ""Tornado"": 0.04, ""Earthquake"": 0.07, ""Hurricane"": 0.08, ""Volcano"": 0.04, ""Extreme cold"": 0.03}",2070
"Thompson, Davis and Brown",53.51684,-113.3187,Retail,0.96,"{""Flooding"": 0.96}",2070
"Taylor, Mitchell and Ward",46.1351,-60.1831,Healthcare,0.26,"{""Volcano"": 0.05, ""Flooding"": 0.05, ""Extreme cold"": 0.01, ""Tornado"": 0.01, ""Hurricane"": 0.01, ""Wildfire"": 0.04, ""Earthquake"": 0.01, ""Sea level rise"": 0.03, ""Drought"": 0.05}",2040
Park and Sons,43.86682,-79.2663,Manufacturing,0.04,"{""Earthquake"": 0.04}",2040
"Thompson, Davis and Brown",50.26729,-119.27337,Technology,0.84,"{""Earthquake"": 0.04, ""Sea level rise"": 0.02, ""Flooding"": 0.06, ""Volcano"": 0.14, ""Tornado"": 0.2, ""Drought"": 0.06, ""Hurricane"": 0.09, ""Extreme cold"": 0.03, ""Extreme heat"": 0.2}",2040
Obrien-Oneill,45.44868,-73.81669,Healthcare,0.15,"{""Extreme heat"": 0.08, ""Flooding"": 0.07}",2070
Zuniga Inc,50.26729,-119.27337,Retail,0.17,"{""Extreme heat"": -0.01, ""Volcano"": 0.03, ""Extreme cold"": 0.03, ""Flooding"": 0.01, ""Earthquake"": 0.03, ""Hurricane"": 0.02, ""Drought"": 0.01, ""Wildfire"": 0.01, ""Tornado"": 0.01, ""Sea level rise"": 0.03}",2060
Smith-Woods,46.23899,-63.13414,Retail,0.22,"{""Extreme heat"": 0.01, ""Volcano"": 0.02, ""Earthquake"": 0.03, ""Wildfire"": 0.01, ""Drought"": 0.02, ""Sea level rise"": 0.03, ""Extreme cold"": 0.04, ""Tornado"": 0.06}",2050
"Wagner, Curry and Pearson",49.88307,-119.48568,Finance,0.97,"{""Extreme cold"": 0.03, ""Earthquake"": 0.12, ""Flooding"": 0.09, ""Sea level rise"": 0.14, ""Hurricane"": 0.09, ""Volcano"": 0.08, ""Extreme heat"": 0.05, ""Drought"": 0.09, ""Tornado"": 0.15, ""Wildfire"": 0.13}",2070
"Rodriguez, Roberts and Fuller",45.4473,-73.75335,Finance,0.11,"{""Extreme heat"": 0.03, ""Volcano"": 0.04, ""Extreme cold"": 0.04}",2070
Johnson and Sons,45.44868,-73.81669,Finance,0.73,"{""Wildfire"": 0.13, ""Drought"": 0.07, ""Earthquake"": 0.13, ""Volcano"": 0.13, ""Extreme heat"": 0.06, ""Sea level rise"": 0.14, ""Tornado"": 0.04, ""Hurricane"": 0.02, ""Extreme cold"": 0.01}",2030
Banks-Carlson,50.26729,-119.27337,Finance,0.59,"{""Extreme cold"": 0.59}",2040
"Mcpherson, Simmons and Simpson",49.88307,-119.48568,Healthcare,0.82,"{""Extreme cold"": 0.12, ""Sea level rise"": 0.33, ""Tornado"": 0.16, ""Volcano"": 0.09, ""Earthquake"": 0.05, ""Extreme heat"": 0.07}",2060
Wilkerson-Miranda,45.44868,-73.81669,Healthcare,0.33,"{""Extreme heat"": 0.08, ""Wildfire"": 0.02, ""Extreme cold"": 0.09, ""Earthquake"": 0.06, ""Sea level rise"": 0.08}",2070
"Bender, Warren and Sanchez",46.1351,-60.1831,Energy,0.61,"{""Volcano"": 0.08, ""Sea level rise"": 0.1, ""Drought"": 0.16, ""Extreme heat"": 0.01, ""Tornado"": 0.12, ""Hurricane"": 0.01, ""Earthquake"": 0.13}",2050
Thomas-Chavez,53.51684,-113.3187,Retail,0.25,"{""Hurricane"": 0.08, ""Wildfire"": 0.09, ""Volcano"": 0.08}",2030
"Bender, Warren and Sanchez",50.26729,-119.27337,Energy,0.64,"{""Tornado"": 0.07, ""Extreme cold"": 0.05, ""Wildfire"": 0.13, ""Flooding"": 0.1, ""Hurricane"": 0.06, ""Drought"": 0.12, ""Sea level rise"": 0.0, ""Earthquake"": 0.07, ""Extreme heat"": 0.04}",2070
Duke Ltd,45.43341,-73.86586,Retail,0.43,"{""Earthquake"": 0.43}",2070
"Thompson, Davis and Brown",43.86682,-79.2663,Energy,0.62,"{""Earthquake"": 0.32, ""Hurricane"": 0.12, ""Drought"": 0.18}",2030
"Patel, Norris and Jackson",50.26729,-119.27337,Retail,0.76,"{""Extreme heat"": 0.31, ""Wildfire"": 0.35, ""Sea level rise"": 0.1}",2070
"Taylor, Mitchell and Ward",45.43341,-73.86586,Technology,0.88,"{""Drought"": 0.65, ""Flooding"": 0.21, ""Extreme cold"": 0.02}",2030
"Higgins, Brown and Vaughn",42.8334,-80.38297,Healthcare,0.79,"{""Drought"": 0.019999999999999997, ""Tornado"": 0.1, ""Flooding"": 0.12, ""Earthquake"": 0.14, ""Extreme heat"": 0.14, ""Sea level rise"": 0.1, ""Wildfire"": 0.04, ""Extreme cold"": 0.07, ""Volcano"": 0.06}",2040
Obrien-Oneill,45.40008,-73.58248,Manufacturing,0.05,"{""Extreme cold"": 0.03, ""Drought"": 0.02}",2050
Martin-Jenkins,42.8334,-80.38297,Technology,0.06,"{""Tornado"": 0.03, ""Volcano"": 0.0, ""Wildfire"": 0.02, ""Flooding"": 0.01}",2040
Waller Ltd,53.51684,-113.3187,Retail,0.8,"{""Earthquake"": 0.2, ""Tornado"": 0.14, ""Drought"": 0.21, ""Flooding"": 0.06, ""Extreme heat"": 0.19}",2030
"Hooper, Evans and Merritt",42.8334,-80.38297,Technology,0.56,"{""Tornado"": 0.13, ""Extreme cold"": 0.01, ""Hurricane"": 0.09, ""Sea level rise"": 0.15, ""Extreme heat"": 0.08, ""Flooding"": 0.03, ""Earthquake"": 0.02, ""Drought"": 0.05}",2030
Horne and Sons,45.4473,-73.75335,Energy,0.63,"{""Hurricane"": 0.63}",2040
Robertson-Petersen,45.40008,-73.58248,Technology,0.45,"{""Extreme cold"": 0.11, ""Hurricane"": 0.34}",2050
Sullivan-Curtis,43.86682,-79.2663,Technology,0.27,"{""Tornado"": 0.08, ""Earthquake"": 0.03, ""Sea level rise"": 0.07, ""Wildfire"": 0.03, ""Hurricane"": 0.06}",2040
"Wagner, Curry and Pearson",45.43341,-73.86586,Energy,0.54,"{""Flooding"": 0.08, ""Sea level rise"": 0.09, ""Extreme cold"": 0.05, ""Drought"": 0.17, ""Wildfire"": 0.15}",2040
Johnson and Sons,49.88307,-119.48568,Manufacturing,0.69,"{""Volcano"": 0.25, ""Hurricane"": 0.25, ""Drought"": 0.15, ""Tornado"": 0.04}",2030
"Washington, Rogers and Morrison",49.88307,-119.48568,Healthcare,0.86,"{""Drought"": 0.13, ""Volcano"": 0.73}",2040
Thomas-Chavez,45.40008,-73.58248,Energy,0.35,"{""Flooding"": 0.08, ""Tornado"": 0.07, ""Extreme heat"": 0.15, ""Drought"": 0.05}",2040
"Taylor, Mitchell and Ward",42.8334,-80.38297,Technology,0.8,"{""Tornado"": 0.31, ""Sea level rise"": 0.3, ""Flooding"": 0.19}",2070
Strickland-Daniels,46.1351,-60.1831,Technology,0.17,"{""Drought"": 0.03, ""Volcano"": 0.0, ""Extreme heat"": 0.01, ""Wildfire"": 0.03, ""Hurricane"": 0.05, ""Tornado"": 0.03, ""Extreme cold"": 0.02}",2060
"Hooper, Evans and Merritt",45.43341,-73.86586,Retail,0.8,"{""Tornado"": 0.13, ""Volcano"": 0.24, ""Sea level rise"": 0.43}",2030
"Davis, Allen and Rivera",50.26729,-119.27337,Technology,0.53,"{""Hurricane"": 0.09, ""Sea level rise"": 0.17, ""Flooding"": 0.13, ""Wildfire"": 0.03, ""Drought"": 0.11}",2040
Miller-Norris,49.88307,-119.48568,Healthcare,0.09,"{""Flooding"": 0.01, ""Wildfire"": 0.01, ""Volcano"": 0.01, ""Hurricane"": 0.0, ""Earthquake"": 0.02, ""Tornado"": 0.02, ""Extreme heat"": 0.02, ""Drought"": 0.0}",2060
"Roberts, Burke and Williams",43.86682,-79.2663,Healthcare,0.57,"{""Volcano"": 0.21, ""Earthquake"": 0.17, ""Wildfire"": 0.19}",2070
Gross PLC,42.8334,-80.38297,Healthcare,0.78,"{""Extreme heat"": 0.35, ""Drought"": 0.43}",2060
Thomas-Chavez,50.26729,-119.27337,Healthcare,0.63,"{""Volcano"": 0.63}",2050
"Hall, Meadows and Anderson",45.40008,-73.58248,Retail,0.84,"{""Sea level rise"": 0.84}",2030
Foster-Flores,53.51684,-113.3187,Finance,0.31,"{""Tornado"": 0.31}",2050
Martin-Jenkins,46.23899,-63.13414,Finance,0.07,"{""Volcano"": 0.02, ""Extreme heat"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.0, ""Earthquake"": 0.01, ""Drought"": 0.01, ""Hurricane"": 0.01}",2050
"Rodriguez, Roberts and Fuller",46.23899,-63.13414,Technology,0,"{""Extreme heat"": 0.0, ""Flooding"": 0.0, ""Tornado"": 0.0, ""Wildfire"": 0.0, ""Earthquake"": 0.0, ""Sea level rise"": 0.0, ""Hurricane"": 0.0}",2030
Robertson-Petersen,45.43341,-73.86586,Finance,0.77,"{""Flooding"": 0.77}",2070
Miller-Norris,50.26729,-119.27337,Energy,0.93,"{""Wildfire"": 0.21, ""Tornado"": 0.72}",2070
Robertson-Petersen,42.8334,-80.38297,Energy,0.59,"{""Extreme heat"": 0.2, ""Volcano"": 0.39}",2050
Anderson Group,49.88307,-119.48568,Energy,0.68,"{""Volcano"": 0.14, ""Extreme heat"": 0.03, ""Tornado"": 0.1, ""Extreme cold"": 0.07, ""Sea level rise"": 0.12, ""Flooding"": 0.03, ""Hurricane"": 0.08, ""Earthquake"": 0.09, ""Drought"": 0.02}",2040
Anderson Group,50.26729,-119.27337,Retail,0.05,"{""Extreme heat"": 0.01, ""Wildfire"": 0.02, ""Sea level rise"": 0.02, ""Drought"": 0.0, ""Hurricane"": 0.0}",2030
Willis-Newman,45.43341,-73.86586,Manufacturing,0.78,"{""Extreme heat"": 0.08, ""Earthquake"": 0.17, ""Hurricane"": 0.01, ""Drought"": 0.07, ""Flooding"": 0.16, ""Extreme cold"": 0.09, ""Wildfire"": 0.01, ""Tornado"": 0.06, ""Sea level rise"": 0.13}",2040
"Landry, Molina and Green",50.26729,-119.27337,Manufacturing,0.9,"{""Sea level rise"": 0.5, ""Wildfire"": 0.4}",2070
"Fox, Daniel and Coleman",42.8334,-80.38297,Healthcare,0.16,"{""Hurricane"": 0.019999999999999997, ""Drought"": 0.01, ""Flooding"": 0.06, ""Sea level rise"": 0.07}",2040
Williams Group,42.8334,-80.38297,Manufacturing,0.71,"{""Earthquake"": 0.26, ""Hurricane"": 0.06, ""Wildfire"": 0.19, ""Extreme cold"": 0.2}",2060
Horne and Sons,43.86682,-79.2663,Finance,0.45,"{""Sea level rise"": 0.07, ""Wildfire"": 0.14, ""Volcano"": 0.05, ""Extreme cold"": 0.05, ""Flooding"": 0.14}",2060
Perez-Robertson,42.8334,-80.38297,Technology,0.41,"{""Extreme cold"": 0.41}",2040
Flynn-Anderson,46.23899,-63.13414,Healthcare,0.34,"{""Hurricane"": 0.08, ""Earthquake"": 0.07, ""Extreme heat"": 0.03, ""Wildfire"": 0.06, ""Tornado"": 0.01, ""Flooding"": 0.09}",2060
"Wagner, Curry and Pearson",53.51684,-113.3187,Technology,0.85,"{""Sea level rise"": 0.13, ""Drought"": 0.14, ""Extreme heat"": 0.2, ""Hurricane"": 0.01, ""Tornado"": 0.07, ""Flooding"": 0.13, ""Wildfire"": 0.15, ""Volcano"": 0.02}",2060
Thomas-Chavez,45.43341,-73.86586,Healthcare,0.55,"{""Wildfire"": 0.55}",2030
Stewart PLC,49.88307,-119.48568,Finance,0.92,"{""Volcano"": 0.71, ""Tornado"": 0.21}",2050
Foster-Flores,46.23899,-63.13414,Finance,0.39,"{""Hurricane"": 0.39}",2040
Kemp-Anderson,46.23899,-63.13414,Healthcare,0.62,"{""Hurricane"": 0.0, ""Sea level rise"": 0.1, ""Extreme heat"": 0.05, ""Drought"": 0.1, ""Earthquake"": 0.15, ""Tornado"": 0.08, ""Flooding"": 0.02, ""Extreme cold"": 0.07, ""Volcano"": 0.02, ""Wildfire"": 0.03}",2050
"Rodriguez, Roberts and Fuller",53.51684,-113.3187,Healthcare,0.01,"{""Extreme cold"": 0.0, ""Wildfire"": 0.01}",2050
Smith-Woods,45.44868,-73.81669,Energy,0.6,"{""Wildfire"": 0.6}",2030
"Watson, Evans and Smith",50.26729,-119.27337,Manufacturing,0.12,"{""Wildfire"": 0.07, ""Flooding"": 0.05}",2060
"Patel, Norris and Jackson",45.4473,-73.75335,Energy,0.62,"{""Tornado"": 0.14, ""Hurricane"": 0.21, ""Sea level rise"": 0.27}",2040
"Rodriguez, Roberts and Fuller",53.51684,-113.3187,Technology,0.25,"{""Drought"": 0.0, ""Hurricane"": 0.07, ""Earthquake"": 0.02, ""Volcano"": 0.01, ""Wildfire"": 0.08, ""Flooding"": 0.07}",2070
"Bender, Warren and Sanchez",46.1351,-60.1831,Manufacturing,0.27,"{""Tornado"": 0.24, ""Hurricane"": 0.03}",2030
"Clarke, Lutz and Farrell",42.8334,-80.38297,Energy,0.99,"{""Sea level rise"": 0.19, ""Wildfire"": 0.12, ""Earthquake"": 0.33, ""Hurricane"": 0.35}",2030
Perez-Robertson,46.23899,-63.13414,Manufacturing,0.94,"{""Flooding"": 0.3, ""Extreme cold"": 0.1, ""Sea level rise"": 0.15, ""Extreme heat"": 0.28, ""Drought"": 0.05, ""Wildfire"": 0.06}",2050
Waller Ltd,45.44868,-73.81669,Finance,0.64,"{""Extreme heat"": 0.060000000000000005, ""Hurricane"": 0.23, ""Volcano"": 0.05, ""Extreme cold"": 0.04, ""Tornado"": 0.26}",2060
Guzman Ltd,50.26729,-119.27337,Healthcare,0.21,"{""Drought"": 0.03, ""Extreme cold"": 0.02, ""Sea level rise"": 0.01, ""Flooding"": 0.04, ""Extreme heat"": 0.06, ""Hurricane"": 0.01, ""Earthquake"": 0.04}",2070
"Washington, Rogers and Morrison",49.88307,-119.48568,Manufacturing,0.75,"{""Flooding"": 0.19999999999999998, ""Hurricane"": 0.04, ""Extreme heat"": 0.27, ""Earthquake"": 0.14, ""Extreme cold"": 0.1}",2070
"Higgins, Brown and Vaughn",42.8334,-80.38297,Technology,0.11,"{""Earthquake"": -0.01, ""Extreme heat"": 0.04, ""Tornado"": 0.01, ""Drought"": 0.02, ""Sea level rise"": 0.05}",2060
Norton-Spencer,53.51684,-113.3187,Finance,0.29,"{""Flooding"": 0.01, ""Earthquake"": 0.03, ""Volcano"": 0.02, ""Wildfire"": 0.06, ""Tornado"": 0.02, ""Extreme cold"": 0.04, ""Extreme heat"": 0.06, ""Drought"": 0.05}",2070
Smith-Woods,53.51684,-113.3187,Manufacturing,0.9,"{""Hurricane"": 0.08, ""Volcano"": 0.11, ""Sea level rise"": 0.18, ""Wildfire"": 0.02, ""Flooding"": 0.1, ""Drought"": 0.22, ""Tornado"": 0.13, ""Extreme heat"": 0.06}",2030
Reid PLC,43.86682,-79.2663,Retail,0.28,"{""Tornado"": 0.12, ""Sea level rise"": 0.13, ""Wildfire"": 0.03}",2040
"Marks, Garrett and Cummings",53.51684,-113.3187,Retail,0.03,"{""Extreme heat"": 0.0, ""Hurricane"": 0.0, ""Wildfire"": 0.0, ""Drought"": 0.01, ""Flooding"": 0.01, ""Earthquake"": 0.01}",2040
"Rodriguez, Roberts and Fuller",49.88307,-119.48568,Healthcare,0.37,"{""Tornado"": 0.09, ""Extreme heat"": 0.08, ""Sea level rise"": 0.03, ""Wildfire"": 0.02, ""Hurricane"": 0.15}",2040
Reid PLC,45.43341,-73.86586,Healthcare,0.75,"{""Sea level rise"": 0.02, ""Volcano"": 0.37, ""Earthquake"": 0.36}",2040
Gray-Evans,45.44868,-73.81669,Retail,0.28,"{""Wildfire"": 0.06, ""Extreme heat"": 0.22}",2060
Duke Ltd,45.44868,-73.81669,Healthcare,0.07,"{""Extreme heat"": 0.02, ""Earthquake"": 0.0, ""Flooding"": 0.02, ""Tornado"": 0.01, ""Hurricane"": 0.01, ""Extreme cold"": 0.0, ""Wildfire"": 0.01}",2040
Patel-Brooks,42.8334,-80.38297,Energy,0.97,"{""Tornado"": 0.97}",2050
Patel-Brooks,50.26729,-119.27337,Retail,0.54,"{""Wildfire"": 0.11, ""Drought"": 0.03, ""Extreme cold"": 0.0, ""Sea level rise"": 0.08, ""Flooding"": 0.06, ""Volcano"": 0.1, ""Hurricane"": 0.05, ""Tornado"": 0.07, ""Earthquake"": 0.04}",2070
Waller Ltd,53.51684,-113.3187,Retail,0.19,"{""Tornado"": 0.18, ""Extreme cold"": 0.01}",2040
Waller Ltd,45.44868,-73.81669,Retail,0.83,"{""Drought"": 0.18000000000000002, ""Tornado"": 0.07, ""Volcano"": 0.14, ""Flooding"": 0.05, ""Sea level rise"": 0.23, ""Wildfire"": 0.16}",2040
"Mcpherson, Simmons and Simpson",49.88307,-119.48568,Healthcare,0.39,"{""Earthquake"": 0.03, ""Flooding"": 0.04, ""Tornado"": 0.07, ""Sea level rise"": 0.06, ""Extreme cold"": 0.09, ""Extreme heat"": 0.01, ""Hurricane"": 0.03, ""Drought"": 0.06}",2040
"Clarke, Lutz and Farrell",45.4473,-73.75335,Energy,0.48,"{""Earthquake"": 0.18000000000000002, ""Drought"": 0.04, ""Extreme cold"": 0.26}",2070
Duke Ltd,46.23899,-63.13414,Finance,0.34,"{""Wildfire"": 0.06, ""Earthquake"": 0.28}",2050
Jimenez-Gallegos,45.4473,-73.75335,Retail,0.14,"{""Wildfire"": 0.03, ""Sea level rise"": 0.03, ""Volcano"": 0.03, ""Drought"": 0.01, ""Tornado"": 0.01, ""Extreme heat"": 0.0, ""Earthquake"": 0.03}",2040
"Rodriguez, Roberts and Fuller",50.26729,-119.27337,Manufacturing,0.3,"{""Tornado"": 0.14, ""Wildfire"": 0.16}",2030
"Washington, Rogers and Morrison",45.4473,-73.75335,Retail,0.24,"{""Extreme cold"": 0.03, ""Extreme heat"": 0.05, ""Sea level rise"": 0.03, ""Flooding"": 0.02, ""Drought"": 0.01, ""Wildfire"": 0.03, ""Volcano"": 0.04, ""Hurricane"": 0.03}",2070
Park and Sons,53.51684,-113.3187,Manufacturing,0.54,"{""Volcano"": 0.39, ""Earthquake"": 0.15}",2050
"Landry, Molina and Green",46.1351,-60.1831,Retail,0.23,"{""Flooding"": 0.19, ""Extreme cold"": 0.04}",2030
Ware PLC,45.4473,-73.75335,Energy,0.59,"{""Earthquake"": 0.08, ""Flooding"": 0.07, ""Extreme heat"": 0.13, ""Wildfire"": 0.12, ""Volcano"": 0.05, ""Hurricane"": 0.03, ""Extreme cold"": 0.11}",2050
Alvarez Inc,46.23899,-63.13414,Energy,0.65,"{""Earthquake"": 0.65}",2050
Waller Ltd,45.43341,-73.86586,Healthcare,0.32,"{""Flooding"": 0.01, ""Extreme cold"": 0.0, ""Wildfire"": 0.01, ""Drought"": 0.06, ""Extreme heat"": 0.04, ""Volcano"": 0.02, ""Hurricane"": 0.05, ""Sea level rise"": 0.04, ""Earthquake"": 0.02, ""Tornado"": 0.07}",2040
Campos and Sons,43.86682,-79.2663,Manufacturing,0.03,"{""Volcano"": 0.01, ""Tornado"": 0.0, ""Flooding"": 0.01, ""Hurricane"": 0.0, ""Extreme heat"": 0.01}",2050
Skinner-Rojas,45.44868,-73.81669,Energy,0.38,"{""Extreme heat"": 0.07, ""Wildfire"": 0.17, ""Hurricane"": 0.06, ""Earthquake"": 0.08}",2070
Anderson Group,43.86682,-79.2663,Healthcare,0.19,"{""Volcano"": 0.05, ""Wildfire"": 0.06, ""Extreme cold"": 0.07, ""Flooding"": 0.01}",2040
Rivera Inc,46.1351,-60.1831,Retail,0.39,"{""Drought"": 0.1, ""Extreme cold"": 0.12, ""Volcano"": 0.17}",2050
Campos and Sons,50.26729,-119.27337,Healthcare,0.91,"{""Extreme cold"": 0.07, ""Volcano"": 0.15, ""Drought"": 0.13, ""Sea level rise"": 0.03, ""Extreme heat"": 0.12, ""Flooding"": 0.03, ""Earthquake"": 0.17, ""Hurricane"": 0.18, ""Wildfire"": 0.02, ""Tornado"": 0.01}",2070
"Hall, Meadows and Anderson",46.1351,-60.1831,Finance,0.49,"{""Hurricane"": 0.08, ""Wildfire"": 0.29, ""Extreme heat"": 0.12}",2070
Thomas-Chavez,45.43341,-73.86586,Technology,0.69,"{""Sea level rise"": 0.11, ""Earthquake"": 0.08, ""Extreme cold"": 0.1, ""Extreme heat"": 0.1, ""Hurricane"": 0.07, ""Wildfire"": 0.02, ""Drought"": 0.09, ""Tornado"": 0.04, ""Volcano"": 0.08}",2070
